Date,Record Number,Record Type,Address,Description,Permit Name,Status,Short Notes
1/25/2019,ORR-201900152,Open Record Request,"556 CENTENNIAL OLYMPIC PARK DR NW, ATLANTA GA 30314","Requesting plans, permits, inspections, certificate of occupancy, and any other records for this property.",194 CENTENNIAL OLYMPIC PARK DR NW - ORR,Accepted,
1/25/2019,BB-201900649,Residential Addition,"1624 VENETIAN DR SW, ATLANTA GA 30311",INTERIOR REMODEL OF SINGLE STORY HOME RELOCATE KITCHEN AND EXPAND MASTER BATH. ADDITION OF REAR DECK AND FRONT COVERED PORCH. EXTEND DRIVEWAY TO HOUSE.,VANCOONEY'S INTERIOR REMODEL / ADDITION OF REAR DECK & DRIVEWAY EXTENSION,Routed for Review,
1/25/2019,BA-201900589,Arborist Dead Dying Hazardous Tree,"1055 EDEN AVE, ATLANTA GA 00000",,,Issued,
1/25/2019,BA-201900591,Arborist Dead Dying Hazardous Tree,"1784 CHARLINE AVE NE, ATLANTA GA 30306",,,Issued,
1/25/2019,BB-201900634,Residential Misc. Non-Structural,"1138 ST CHARLES PL NE, ATLANTA GA 30306",DRIVEWAY REPLACEMENT IN KIND,BROWNING - DRIVEWAY - XPRS,Issued,
1/25/2019,ZLA-201900431,Business Licenses,"254 MURRAY HILL AVE NE, ATLANTA GA 30317",WEITZMAN HOUSE LLCGRAPHIC DESIGN,WEITZMAN HOUSE LLC,License Approved,
1/25/2019,BE-201901208,Commercial - Low Voltage,"3495 PIEDMONT RD NE, ATLANTA GA 00000",data cabling,FieldEdge Suite 110,Issued,
1/25/2019,BW-201900044,Water Heater,"1370 NORTH HIGHLAND AVE NE, ATLANTA GA 30306",Electric Water heater replacement.  Located in attic,Electric Water Heater Replacement,Issued,
1/25/2019,BA-201900672,Arborist Dead Dying Hazardous Tree,"339 HOLLY ST NW, ATLANTA GA 30318",,,Accepted,
1/25/2019,BE-201901022,Residential - Electrical,"1293 ALMONT DR SW, ATLANTA GA 30310",Construction of New single family home sitting on existing foundation,Almont General,Issued,
1/24/2019,BB-201900594,Commercial Misc. Structural,"3455 PEACHTREE RD NE, ATLANTA GA 30326",INSTALL 3  STAIRWAY AWNINGS COMPLETE WITH COLUMN POST SUPPORTS. (LC),THE PENNACLE PARKING DECK (LC),Routed for Review,
1/24/2019,BB-201900583,Commercial Misc. Structural,"265 ARIZONA AVE NE, ATLANTA GA 30307","EXTERIOR WORK , WATERPROOF SLAB , REBUILD HAND RAILS",CO- HOUSING (LC),Routed for Review,
1/24/2019,BA-201900552,Arborist Dead Dying Hazardous Tree,"2889 CHAUCER DR SW, ATLANTA GA 30311",DDH,DDH,Issued,
1/24/2019,BT-201900190,Temporary Power,"951 FERN AVE SE, ATLANTA GA 30315",951 Fern Ave Unit 1 Temp Power,951 Fern Ave Unit 1 Temp Power,Issued,
1/24/2019,ORR-201900133,Open Record Request,"1448 ROME DR NW, ATLANTA GA 30314",all permits since 2005,1448 Rome Drive ORR,Request Completed,
1/24/2019,19CAP-00000101,Building Complaint,"522 HARDENDORF AVE NE, ATLANTA GA 30307",STOP WORK- WORKING WITH OUT PERMIT,Stop Work Case,Assigned to Inspector,Stop Work Case
1/24/2019,BA-201900528,Arborist Dead Dying Hazardous Tree,"670 COURTENAY DR NE, ATLANTA GA 30306",,,Issued,
1/24/2019,QCR-2019-00404,Commercial QCR,"4401 NORTHSIDE PKWY NW, REAR, ATLANTA GA 30327","-Remove Old Telco Equipment From Existing Telco Board-Install New FDP On Existing Telco Board-Install New Fiber Service in Existing 2"" Conduit from Existing Telco Board to Existing MMBTS Cabinet-Bore New 4"" Conduit From New Handhole (PMMP) To ""Y"" Intercep",Sprint Dark Fiber- Pacer Ferry,Open,
1/24/2019,BP-201900520,Commercial - Fire Sprinkler,"385 GRANT CIR SE, ATLANTA GA 30315",New 13R Townhomes,Pratt Stacks Townhomes,Routed for Review,
1/24/2019,BA-201900543,Arborist Dead Dying Hazardous Tree,"331 CAMDEN RD NE, ATLANTA GA 30309",DDH,DDH,Issued,
1/24/2019,BB-201900610,Commercial Misc. Structural,"654 8TH ST NW, ATLANTA GA 30318","ALEXAN 8 WEST BUILDING 400 FOUNDATION ONLY(Sharing same set of drawings BB-201900602, 603, 608, 610, 612)",ALEXAN 8 WEST BLDG 400 FOUNDATION,Routed for Review,
1/24/2019,BB-201900608,Commercial Misc. Structural,"654 8TH ST NW, ATLANTA GA 30318","ALEXAN 8 WEST BUILDING 300: FOUNDATION ONLY LD 201800110(Sharing same set of drawings BB-201900602, 603, 608, 610, 612)",ALEXAN 8 WEST BLDG 300 FOUNDATION,Routed for Review,
1/24/2019,BT-201900177,Temporary Power,"1989 DONALD LEE HOLLOWELL PKWY, ATLANTA GA 30318",Temporary Power,"1989 DonALD LEE HOLLOWELL PKWY, SUITE A, B & C",Online Permit Pending,
1/24/2019,BT-201900174,Temporary Power,"1429 CORETTA SCOTT VIEW NW, ATLANTA GA 30318",1429 CORETTA SCOTT VIEW AKA 1455 FAIRMONT AVE NW;   TEMP TO PERM POWER PERMIT,71-WET-TPR,Issued,
1/24/2019,BM-201900463,Residential - HVAC,"20 28TH ST NW, ATLANTA GA 30309",INSTALL HVAC,8 28th street brookwood,Issued,
1/24/2019,BE-201901016,Commercial - Electrical,"160 SPRING ST NW, ATLANTA GA 30303",one  56 kw temporary generator,Temporary Generator,Issued,
1/24/2019,BA-201900549,Arborist Dead Dying Hazardous Tree,"10 LAKESIDE VILLAGE DR SE, ATLANTA GA 30317",DDH,DDH,Issued,
1/24/2019,QCR-2019-00406,Residential QCR,"267 15TH ST NE, ATLANTA GA 30309","FRONT ADDITION TO INCLUDE 2 CAR GARAGE,FRONT ENTRY PORCH,ENTRY,CLOSET AND WALK IN CLOSET ON THE 1ST FLOOR AND A BALCONY ON THE 2ND FLOOR,REAR ADDITION TO EXISTING SFR.INTERIOR AND EXTERIOR RENOVATIONS AND ALTERATIONS",TZAFRIR RESIDENCE,Create Application,
1/24/2019,BA-201900544,Arborist Dead Dying Hazardous Tree,"562 LAKESHORE DR NE, ATLANTA GA 30307",DDH,DDH,Issued,
1/24/2019,QCR-2019-00399,Residential QCR,"425 LANIER ST NW, ATLANTA GA 30318","NEW ADDITION, FRAMING, DOORS, WINDOWS, SHEETROCK, ELECTRICAL, PLUMBING, PAINTING,. INTERIOR, EXTERIOR, TRIM, CABINETS, GRANITE, LIGHTING, HARDWOODS, FINISH, HARDWOODS, LANDSCAPING, TILE, TOILETS, TUB, CABINETS, SIDING, HARIPLANK.",SFR - ADDITION,Create Application,
1/24/2019,BB-201900581,Residential Addition,"1692 FAIRBANKS ST SW, ATLANTA GA 30310","ERECT,REAR ADDITION,REMODEL SUN ROOM,LEVEL EXISTING CONCRETE FLOOR,REMODEL AND REMOVE AND ADD DRYWALL,CEILING,AND WALLS,INSTALL WASHER AND DRYER,REMODEL INTERIOR STAIR",BROWNING RESIDENCE-ADDITION &ALTERATION -CO,Routed for Review,
1/24/2019,BE-201900936,Commercial - Electrical,"496 LINDSAY ST NW, ATLANTA GA 30314",PUBLIC UTILITY APARTMENT #1,COMMERCIAL / ELECTRICAL - PUBLIC UTILITY - APT #1,Issued,
1/24/2019,QCR-2019-00396,Residential QCR,"684 HILLPINE DR NE, ATLANTA GA 30306",ERECT NEW SINGLE FAMILY RESIDENCE WITH ATTACHED GARAGE AND FRONT AND REAR PORCH,NEW SFR,Plan Inspection,
1/24/2019,BP-201900533,Commercial - Plumbing,"550 PEACHTREE ST NE, ATLANTA GA 00000",install fixtures into existing plumbing,Emory 10th Flr Head & Neck,Issued,
1/24/2019,BE-201900972,Commercial - Low Voltage,"3500 LENOX RD NE, ATLANTA GA 30342",Install 34 cat 5e cable runs for communication connectivity.  Terminate cables.,Lee & Assoc Ste 1600,Issued,
1/24/2019,BE-201901003,Residential - Electrical,"3776 HEMPSTEAD WAY SW, ATLANTA GA 30331",LOT 17(1) SERVICE 1-200(1) FEEDER 101 - 200(30) BRANCH CIRCUITS 1- 30,ELECTRICAL - RESD LOT 17,Issued,
1/24/2019,ZLA-201900417,Business Licenses,"1919 METROPOLITAN PKWY SW, ATLANTA GA 30315",BTS FASHIONS INC.RETAILINSIDE OUTLET MALL,BTS FASHIONS INC.,VOID,
1/24/2019,BB-201900587,Commercial Alteration,"1198 HOWELL MILL RD NW, ATLANTA GA 00000","INTERIOR ALTERATION OF AN EXISTING RESTAURANT SPACE FOR A NEW RESTAURANT TENANT. SCOPE INCLUDES NEW WALLS, FINISHES, EQUIPMENT AND MEPS. NEW GREASE TRAPS.",Redbird Restaurant & Bar (LC) (CO),Routed for Review,
1/24/2019,BE-201900950,Residential - Electrical,"1315 EPWORTH ST SW, ATLANTA GA 30310",DISCONNECT AND RECONNECT,RESIDENTIAL / ELECTRICAL - DISC. RECON.,Issued,
1/24/2019,BE-201900947,Commercial - Electrical,"496 LINDSAY ST NW, ATLANTA GA 30314",PUBLIC UTILITYAPARTMENT #10,COMMERCIAL / ELECTRICAL / PUBLIC UTILITY - APT #10,Issued,
1/24/2019,QCR-2019-00422,Commercial QCR,"3343 PEACHTREE RD NE, ATLANTA GA 00000",INTERIOR OF EXISTING TENANT SUITE,ROBERT HALF / SUITE 600,Create Application,
1/24/2019,BE-201900966,Residential - Electrical,"2257 TIGER FLOWERS DR NW, ATLANTA GA 30314",REWIRE,RESIDENTIAL/ELECTRICAL/GENERAL,Issued,
1/24/2019,QCR-2019-00415,Commercial QCR,"600 WEST PEACHTREE ST NW, ATLANTA GA 30308",INTERIOR BUILD OUT / NEW TENANT.,EDWARD JONES SUITE 1820,Create Application,
1/24/2019,BP-201900583,Residential - Plumbing,"1146 PONCE DE LEON AVE NE, ATLANTA GA 30306",Final on plumbing,Marcone Addition,Issued,
1/24/2019,19CAP-00000100,Building Complaint,"228 JAMES P BRAWLEY DR NW, ATLANTA GA 30314",STOP WORK- EXCEEDING SCOPE OF WORK,Buildings-Other Case,Stop Work Posted,Buildings-Other Case
1/24/2019,BE-201900938,Commercial - Electrical,"496 LINDSAY ST NW, ATLANTA GA 30314",PUBLIC UTILITYAPARTMENT #3,COMMERCIAL / ELECTRICAL - PUBLIC UTILITY - APT #3,Issued,
1/24/2019,BE-201900965,Residential - Electrical,"824 THURMOND ST NW, ATLANTA GA 30314",REWIRE,RESIDENTIAL/ELECTRICAL/GENERAL,Issued,
1/24/2019,BM-201900449,Commercial - HVAC,"2472 MARTIN L KING JR DR SW, ATLANTA GA 30311",Installing 5 ton RTU and replacing gas line,"Shriver Mechanical, Inc.,",Issued,
1/24/2019,BM-201900488,Commercial - HVAC,"756 WEST PEACHTREE ST NW, ATLANTA GA 30308","Install new equipment, Relocate existing equipment, and make duct alterations.",756 West Peachtree WeWork CODA 3rd Floor Mechanical,Issued,
1/24/2019,BP-201900510,Residential - Plumbing,"3673 RANDALL MILL RD NW, ATLANTA GA 30327",Addition,3673 Randall Mill Rd NW,Issued,
1/24/2019,BE-201900959,Residential - Electrical,"290 BOOKER ST SW, ATLANTA GA 30315",Temporary power pole installation,P.M.,Closed - Passed,
1/24/2019,ZLA-201900399,Business Licenses,"79 MARIETTA ST NW, ATLANTA GA 30303",Cafe/Operating  Manager,GREENHOUSE LLC,Open,
1/24/2019,BS-201900067,Sign Business,"4381 CAMPBELLTON RD SW, ATLANTA GA 30331",NEW BUSINESS SIGN,HEAD'S PLUMBING RESIDENTIAL/COMMERCIAL,Issued,
1/24/2019,BM-201900457,Residential - HVAC,"20 28TH ST NW, ATLANTA GA 30309",INSTALL HVAC,6 28th street brookwood,Issued,
1/24/2019,BE-201900970,Commercial - Electrical,"756 WEST PEACHTREE ST NW, ATLANTA GA 30308","Interior buildout including power, lighting, and fire alarm.",WeWork CODA 4th Floor Buildout,Issued,
1/24/2019,BP-201900502,Commercial - Fire Sprinkler,"1800 HOWELL MILL RD NW, ATLANTA GA 30318",CENTURY TO ADD AND RELOCATE OFF THE EXISTING FIRE SPRINKLER SYSTEM PER NFPA 13.,PIEDMONT WEST LAB & PHARMACY (SUITE 750),Issued,
1/24/2019,BP-201900501,Commercial - Fire Sprinkler,"55 IVAN ALLEN JR BLVD NW, ATLANTA GA 30308",CENTURY TO ADD AND RELOCATE OFF THE EXISTING FIRE SPRINKLER SYSTEM PER NFPA 13.,CLINIGENCE (SUITE 875),Issued,
1/24/2019,BE-201900958,Commercial - Electrical,"3365 PIEDMONT RD, ATLANTA GA 30326","Event: Super Bowl LIIISet-up & Testing Dates: 01/30 - 02/01/19Event Dates: 02/02 & 02/03/19Location: Twin Peaks Restaurant, 3365 Piedmont Road NEProving: (1) 20kw generator (GROUNDED) for vendor and stage power.",Classic Tents & Events - Super Bowl LIII,Issued,
1/24/2019,BE-201900953,Residential - Electrical,"1389 LYNFORD DR SW, ATLANTA GA 30310","Replacing the meter, weather head and wire for service entrance.",Cesar Ortiz // WIRING APPROVAL,Issued,
1/24/2019,QCR-2019-00403,Residential QCR,"4315 GARMON RD NW, ATLANTA GA 30327",CABANA - POOL HOUSE,SFR - GARMON SHOW HOUSE,Create Application,
1/24/2019,BB-201900584,Residential Alteration,"122 BRIGHTON RD NE, ATLANTA GA 30309",COMPLETELY DEMO MASTER BATH & CLOSET.  OMIT BATH TUB AND ADD SHOWER.  RECONFIGURE CLOSET DEMO GUEST BATH BUT EVERYTHING STAYS IN SAME LOCATION,HARRIS - ALTERATION - XPRS,Issued,
1/24/2019,BE-201900952,Commercial - Electrical,"1060 DELTA BLVD SW, ATLANTA GA 30354","Date: 01/31/19Event: Delta HeadquartersLocation (ACTUAL ADDRESS): Delta Headquarters, 1030 Delta BoulevardProviding: (1) 20kw generator (GROUNDED) for vendor and stage power.",The Magnum Companies - Delta Headquarters,Issued,
1/24/2019,BA-201900536,Arborist Plan Review,"1351 GRAYMONT DR SW, ATLANTA GA 30310",,ADDITION AND RENOVATION-CO,Revisions Required,
1/24/2019,BM-201900437,Residential - HVAC,"1231 REEDER CIR NE, ATLANTA GA 30306","New Hvac systems, duct work, gas line",Reeder,Issued,
1/24/2019,BM-201900588,Residential - HVAC,"194 EAST LAKE DR SE, ATLANTA GA 30317",ADD GAS LINE TO WATER HEATER AND DRYER. DUCT WORK. EXHAUST FANS,RESIDENTIAL/HVAC,Issued,
1/24/2019,BT-201900180,Temporary Power,"2015 ROCKLEDGE RD NE, ATLANTA GA 30324",preparing house for temporary poweraka address 1752 morningtide lane,Morningside Towns 72 TPR,Issued,
1/24/2019,19TMP-003188,Commercial - Plumbing,"310 NORTH AVE NW, ATLANTA GA 30313",6 toilets3 urinals1 shower8 sinks,Plumbing install estimate,,
1/24/2019,BP-201900499,Commercial - Fire Sprinkler,"55 IVAN ALLEN JR BLVD NW, ATLANTA GA 30308",CENTURY TO ADD AND RELOCATE OFF THE EXISTING FIRE SPRINKLER SYSTEM PER NFPA 13.,SPEC SUITE 800 ( SUITE 800),Issued,
1/24/2019,BB-201900633,Residential Pool,"3541 DUMBARTON RD NW, ATLANTA GA 30327","NEW POOL AND HOT TUB AND FENCING,RESURFACE AND RESHAPE DRIVEWAY,REPLACE STEPPING STONES,INSTALL GATES,NEW RETAINING WALL,ADD GRAVEL WALKWAY AND GARDEN AREA,EXISTING PATIO AT BACK OF HOUSE TO BE RESURFACED AND ADJOIN NEW HARD SCAPE AROUND POOL,LANDSCAPING",MCINTYRE POOL,Routed for Review,
1/24/2019,BA-201900557,Arborist Dead Dying Hazardous Tree,"1360 ANIWAKA AVE SW, ATLANTA GA 30311",DDH,DDH,Issued,
1/24/2019,BT-201900170,Temporary Power,"486 BLAKE AVE SE, ATLANTA GA 30316",ELECTRICAL TEMPORARY POWER PERMIT.,486 BLAKE AVE SE,Issued,
1/24/2019,BP-201900507,Commercial - Fire Sprinkler,"55 IVAN ALLEN JR BLVD NW, ATLANTA GA 30308",CENTURY TO ADD AND RELOCATE OFF THE EXISTING FIRE SPRINKLER SYSTEM PER NFPA 13.,SPEC SUITE 530 ( SUITE 530),Issued,
1/24/2019,BA-201900554,Arborist Dead Dying Hazardous Tree,"191 OAK DR SE, ATLANTA GA 30354",DDH,DDH,Issued,
1/24/2019,BE-201901011,Residential - Electrical,"3812 HEMPSTEAD WAY SW, ATLANTA GA 30331",ELECTRICAL/RESD LOT 13,ELECTRICAL/RESD LOT 13,Issued,
1/24/2019,ZLA-201900424,Business Licenses,"1139 EUCLID AVE NE, ATLANTA GA 30307","EARTHTON, INC.RETAIL HAND CRAFTED GOODSEXISTING","EARTHTONE, INC",VOID,
1/24/2019,BE-201900949,Residential - Electrical,"1315 EPWORTH ST SW, ATLANTA GA 30310",CHANGE PANEL,RESIDENTIAL / ELECTRICAL - GENERAL,Issued,
1/24/2019,BA-201900542,Arborist Dead Dying Hazardous Tree,"2907 RIDGEMORE RD NW, ATLANTA GA 30318",DDH,DDH,Issued,
1/24/2019,BA-201900556,Arborist Dead Dying Hazardous Tree,"2520 JONESBORO RD SE, ATLANTA GA 30315",,,Issued,
1/24/2019,BE-201900976,Commercial - Electrical,"866 WEST PEACHTREE ST NW, ATLANTA GA 30309","Event: Marriott SupportSet-up & Testing Dates: 01/31/19Event Dates: 02/01 - 02/03/19Location: The Renaissance Hotel Midtown (Parking Deck - Top Level) 866 West Peachtree Street NWProviding: (1) 20kw generator (GROUNDED) for vendor and stage powerLocation: The Academy of Medicine (Sidewalk going up in front of the building), 875 West Peachtree Street NWProviding: (1) 56kw generator (GROUNDED) for vendor and stage power",Atlanta Pro AV - Marriott Support,Issued,
1/24/2019,BT-201900192,Temporary Power,"1878 PIEDMONT AVE NE, ATLANTA GA 30324",Temporary power.,Little Rey,Issued,
1/24/2019,BP-201900537,Residential - Plumbing,"1329 ELLSWORTH INDUSTRIAL DR NW, ATLANTA GA 00000",NEW SINGLE FAMILY PLUMBING,LOT 4 CHELSEA WESTSIDE TH'S,Online Permit Pending,
1/24/2019,BM-201900472,Residential - HVAC,"80 WHITEFOORD AVE NE, ATLANTA GA 30307",replace gas package unit,Christine Harris,Issued,
1/24/2019,BT-201900188,Temporary Power,"959 CUSTER AVE SE, ATLANTA GA 30316",Temp power,Residential Temp Power,Issued,
1/24/2019,BT-201900186,Temporary Power,"2015 ROCKLEDGE RD NE, ATLANTA GA 30324",preparing house for TPRaka address 1776 morningtide lane,Morningside Towns 78 TPR,Issued,
1/24/2019,ZLA-201900394,Business Licenses,"1199 BARNES, ATLANTA GA",Owner/Office Use Only,THE K.I.A GROUP INC,License Approved,
1/24/2019,QCR-2019-00408,Commercial QCR,"654 8TH ST NW, ATLANTA GA 30318",FOUNDATION ONLY  BUILDING 300    LD 201800110,ALEXAN 8 WEST BUILDING 300,Create Application,
1/24/2019,ZLA-201900392,Business Licenses,"1045 HUGO ST SW, ATLANTA GA 30315",BUSINESS LISTING ONLY,BRADSHAW'S HOME IMPROVEMENT,License Approved,
1/24/2019,BS-201900065,Sign Business,"101 MARIETTA ST NW, ATLANTA GA 30303",NEW WALL SIGN,WEWORK,Routed for Review,
1/24/2019,BB-201900612,Commercial Misc. Structural,"654 8TH ST NW, ATLANTA GA 30318","ALEXAN 8 WEST PARKING DECK  LD 201800110(Sharing same set of drawings BB-201900602, 603, 608, 610, 612)",ALEXAN 8 WEST PARKING DECK,Routed for Review,
1/24/2019,BB-201900595,Residential New,"164 PRESTON LN SW, ATLANTA GA 00000",ERECT NEW 2 STORY SINGLE FAMILY DWELLING W/ GARAGE,NEW SFR (LOT 7),Routed for Review,
1/24/2019,ZLA-201900401,Business Licenses,"240 RENAISSANCE PKWY NE, 313, ATLANTA GA 30308",C. EATON COMPANY LLC - #313RECRUITING AGENCY - OFFICE ONLY (BUSINESS LISTING ONLY),C. EATON COMPANY LLC - #313,License Approved,
1/24/2019,BE-201900943,Commercial - Electrical,"496 LINDSAY ST NW, ATLANTA GA 30314",PUBLIC UTILITYAPARTMENT #8,COMMERCIAL / ELECTRICAL - PUBLIC UTILITY - APT #8,Issued,
1/24/2019,ZLA-201900409,Alcohol Licenses,"1429 FAIRMONT AVE NW, ATLANTA GA 30318","MVP- THE FAIRMONT NON-PROFIT SPECIAL EVENT WITH MALT BEVERAGES, WINE AND DISTILLED SPIRITS CONSUMED ON PREMISES ON JANUARY 30,2019 THRU FEBRUARY 2,2019",MVP- THE FAIRMONT,Approved,
1/24/2019,ZLA-201900408,Business Licenses,"475 BILL KENNEDY WAY SE, ATLANTA GA 30316","SPILLMOR, LLC D/B/A THE SHED AT GLENWOOD / STE F/G RESTAURANT","SPILLMOR, LLC D/B/A THE SHED AT GLENWOOD / STE F/G",License Approved,
1/24/2019,BM-201900438,Residential - HVAC,"1056 DONNELLY AVE SW, ATLANTA GA 30310",INSTALLING (2) 5 TON HEAT PUMP SYSTEM & ALL NEW DUCTWORKS.  (2) BATH FANS AND (2) DRYER VENT.,RESIDENTIAL / HVAC,Issued,
1/24/2019,ZLA-201900390,Business Licenses,"265 18TH ST NW, SHOP CTR, ATLANTA GA 30363",RESTAURANTBB-201801776,NAANSTOP AS LLC D/B/A NAANSTOP,License Approved,
1/24/2019,BE-201900939,Commercial - Electrical,"496 LINDSAY ST NW, ATLANTA GA 30314",PUBLIC UTILITYAPARTMENT #4,COMMERCIAL / ELECTRICAL - PUBLIC UTILITY - APT #4,Issued,
1/24/2019,ZLA-201900383,Business Licenses,"3459 MEADOWLANE CIR SW, ATLANTA GA 30331",SECOND PHASE HOME IMPROVEMENT & LAWN SERVICEHOME IMPROVEMENT / LAW SERVICE (OFFICE USE - BUSINESS LISTING),SECOND PHASE HOME IMPROVEMENT & LAWN SERVICE,License Approved,
1/24/2019,ZLA-201900381,Business Licenses,"3423 PIEDMONT RD NE, ATLANTA GA 30305","SCIBERUS, INC.SOFTWARE CONSULTING","SCIBERUS, INC.",License Approved,
1/24/2019,BM-201900455,Residential - HVAC,"459 BLACKLAND RD NW, ATLANTA GA 30342",Gas line for pool heater,BB-201705871 Pool Heater,Issued,
1/24/2019,BB-201900596,Residential New,"176 PRESTON LN SW, ATLANTA GA 00000",ERECT NEW 2 STORY SINGLE FAMILY HOME W/ GARAGE(PREVIOUS BB#20063498),NEW SFR  (LOT 9),Routed for Review,
1/24/2019,BM-201900432,Residential - HVAC,"3930 NORTH STRATFORD RD NE, ATLANTA GA 30342",hvac replacement,anna grant,Issued,
1/24/2019,BT-201900169,Temporary Power,"980 KATHERWOOD DR SW, ATLANTA GA 30310",Temporary power,980 karherwood,Issued,
1/24/2019,ORR-201900135,Open Record Request,"226 PEACHTREE ST SW, ATLANTA GA 30303",structural plans from the as built set.,226 Peachtree St. ORR,Request Completed,
1/24/2019,BE-201900971,Commercial - Electrical,"996 HUFF RD NW, ATLANTA GA 30318",Rework existing 200 amp service that was wired incorrectly ( line and loads are reversed ) on disconnect switch*****THE GENERAL ELECTRICAL PERMIT EXPIRED IN 2016***,repair existing service,Issued,
1/24/2019,BM-201900451,Commercial - HVAC,"310 NORTH AVE NW, ATLANTA GA 30313",including but not limited to duct alterations and installation of new terminal units and air distribution,Coke CRB S1 HVAC,Issued,
1/24/2019,BP-201900528,Commercial - Fire Sprinkler,"3630 PEACHTREE RD NE, ATLANTA GA 30326",Relocating & adding sprinkler heads off the existing system for new tenant build out .,AMWINS 17TH FLOOR,Routed for Review,
1/24/2019,BT-201900187,Temporary Power,"2015 ROCKLEDGE RD NE, ATLANTA GA 30324",preparing house for temporary poweraka address 1780 morningtide lane,Morningside Towns 79 tpr,Issued,
1/24/2019,BM-201900445,Commercial - HVAC,"3495 PIEDMONT RD NE, ATLANTA GA 00000",Add/relocate diffusers and return air grilles,Fieldedge Building 12 Suite 110,Issued,
1/24/2019,BE-201900955,Commercial - Electrical,"267 MARIETTA ST, ATLANTA GA 00000","Event: Super Bowl LIIISet-up & Testing Dates: 01/28 - 02/01/19Event Dates: 02/02 & 02/03/19Location: Embassy Suites, 267 Marietta Street NWProviding: (1) 36kw generator (GROUNED) for vendor and stage power.",Classic Tents & Events - Super Bowl LIII,Issued,
1/24/2019,ZLA-201900386,Business Licenses,"2260 PEACHTREE RD NW, D5, ATLANTA GA 30309",COURTNEY MOSS DESIGN - #D5INTERIOR DESIGN (BUSINESS LISTING ONLY),COURTNEY MOSS DESIGN - #D5,License Approved,
1/24/2019,ZLA-201900384,Business Licenses,"241 WEST WIEUCA RD NE, ATLANTA GA 30342","ARCH ENTERPRISE, INC - #115 (AKA 245 W WIEUCA RD)NETWORK ENGINEERING / TECH SUPPORT","ARCH ENTERPRISE, INC - #115 (AKA 245 W WIEUCA RD)",License Approved,
1/24/2019,ORR-201900131,Open Record Request,"4101 HILLSIDE PL NW, ATLANTA GA 30342","Request to inspect or obtain copies of all records from the Arborist Division, or received thereof, concerning the property at 4101 Hillside Place, NW, Atlanta, GA 30342 between May 1, 2018 and Sept. 30, 2018 including but not limited to: all arborist field notes, conference reports, DDH/Hazardous Tree reports or evaluations, emails, letters, stamped demolition and building plans, arborist posting notices, computer records produced by the field arborist(s) and plans reviewers and any citations issued by the Arborist Division.",4101 Hillside Place ORR,Request Completed,
1/24/2019,19TMP-003245,Commercial - Low Voltage,"565 MAIN ST NE, ATLANTA GA 30324","( 2 )   12 Volt 7 Amp  12 Volt 7 Amp Battery [BP12V7A]( 1 )   FCPS-24S8  Notifier 8 Amp Power Supply W/sync( 1 )   FCM-1  Addressable Control Module( 16 )   P2WL System Sensor 2 Wire Horn Strobe White Wall MultiCandela( 7 )   PC2WL Horn Strobe 2W White Ceiling System Sensor L( 13)  SWL System Sensor Strobe Only MultiCandela - White Wall( 5 )   B210LP 6"" Base, Flanged, Low Profile ( 5 )   FSP-851 Smoke Detector Photoelectric( 1 )   FRM-1 Relay Module( 1 )   Notifier 640 Programming  ( 1 )   Equipment  Card Access FA Interface",QQ#252055 565 Lindbergh Center for Choate Interior Construction,,
1/24/2019,BE-201900954,Residential - Electrical,"1389 LYNFORD DR SW, ATLANTA GA 30310","Replaced weather head, meter and service cable",Cesar Ortiz // METER & WEATHER HEAD REPLACEMENT,Issued,
1/24/2019,BE-201901002,Residential - Electrical,"3744 HAMPSHIRE PARK WAY SW, ATLANTA GA 30331",TEMP POLE / LOT 5,RESIDENTIAL/ELECTRICAL/TEMP POLE/LOT 5,Issued,
1/24/2019,BE-201900996,Residential - Electrical,"3782 HEMPSTEAD WAY SW, ATLANTA GA 30331",TEMP POLE /LOT 16,RESIDENTIAL/ELECTRICAL/TEMP POLE/LOT 16,Issued,
1/24/2019,BE-201900995,Residential - Electrical,"3782 HEMPSTEAD WAY SW, ATLANTA GA 30331",INSTALL  NEW WIRING /LOT 16,RESIDENTIAL/ELECTRICAL/GENERAL/LOT 16,Issued,
1/24/2019,BE-201900993,Residential - Electrical,"3750 PORTSMOUTH WAY SW, ATLANTA GA 30331",TEMP POLE/ LOT 59,RESIDENTIAL/ELECTRICAL/TEMP  POLE/ LOT 59,Issued,
1/24/2019,BE-201900991,Residential - Electrical,"3750 PORTSMOUTH WAY SW, ATLANTA GA 30331",INSTALL NEW WIRING/ LOT 59,RESIDENTIAL/ELECTRICAL/GENERAL/ LOT 59,Closed - Passed,
1/24/2019,BB-201900615,Commercial Alteration,"3343 PEACHTREE RD NE, ATLANTA GA 00000","ROBERT HALF: SUITE #600. INTERIOR RENOVATION OF OF EXISTING TENANT SUITE INCLUDING REMAIN VACANT SUITE CREATED FROM DOWNSIZE. NEW PLUMBING, MECHANICAL & ELECTRICAL NEW FINISHES.",ROBERT HALF: SUITE #600,Ready to Issue,
1/24/2019,QCR-2019-00429,Residential QCR,"437 PINECREST RD NE, ATLANTA GA 30342","ERECT NEW 2 STORY SINGLE FAMILY DWELLING W/ 2 GARAGES, DECK, FRONT PORCH AND CHIMNEY.",NEW SFR,Create Application,
